file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"registerExceptionMappers/3[org.whispersystems.textsecuregcm.Environment,org.whispersystems.websocket.setup.WebSocketEnvironment<org.whispersystems.textsecuregcm.AuthenticatedAccount>,org.whispersystems.websocket.setup.WebSocketEnvironment<org.whispersystems.textsecuregcm.AuthenticatedAccount>]",false,760,12,2,1,1,1,4,8,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26,2,0,false
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,main/1[java.lang.String[]],false,789,1,2,0,2,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,registerCorsFilter/1[org.whispersystems.textsecuregcm.Environment],false,779,4,1,1,0,1,5,9,0,1,1,5,0,0,0,0,0,0,12,0,1,0,0,0,0,0,8,2,0,false
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,initialize/1[org.whispersystems.textsecuregcm.Bootstrap<org.whispersystems.textsecuregcm.WhisperServerConfiguration>],false,238,10,8,0,8,1,2,16,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,25,1,0,false
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,"run/2[org.whispersystems.textsecuregcm.WhisperServerConfiguration,org.whispersystems.textsecuregcm.Environment]",false,262,160,55,2,53,10,197,251,0,129,2,197,2,1,3,2,1,1,51,25,130,0,3,1,0,0,317,1,5,false
C:\Users\pedri\Documents\LABMining\repos\service\src\main\java\org\whispersystems\textsecuregcm\WhisperServerService.java,org.whispersystems.textsecuregcm.WhisperServerService,getName/0,false,257,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\pedri\Documents\LABMining\repos\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,asJson/1[java.lang.Object],false,19,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
C:\Users\pedri\Documents\LABMining\repos\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,"fromJson/2[java.lang.String,java.lang.Class<T>]",false,23,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
C:\Users\pedri\Documents\LABMining\repos\gcm-sender-async\src\test\java\org\whispersystems\gcm\server\util\JsonHelpers.java,org.whispersystems.gcm.server.util.JsonHelpers,jsonFixture/1[java.lang.String],false,27,2,5,4,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
C:\Users\pedri\Documents\LABMining\repos\websocket-resources\src\main\java\org\whispersystems\websocket\configuration\WebSocketConfiguration.java,org.whispersystems.websocket.configuration.WebSocketConfiguration,getMaxBinaryMessageSize/0,false,35,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
