,nameWithOwner,sshUrl,createdAt,updatedAt,stargazers.totalCount,releases.totalCount
0,Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,2018-05-07T13:27:00Z,2022-03-15T00:56:52Z,118635,0
1,iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,2014-08-09T16:45:18Z,2022-03-15T00:15:02Z,73714,0
2,MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,2018-12-06T08:01:22Z,2022-03-14T15:10:22Z,69301,0
3,doocs/advanced-java,git@github.com:doocs/advanced-java.git,2018-10-06T11:38:30Z,2022-03-15T00:43:35Z,61665,1
4,spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,2012-10-19T15:02:57Z,2022-03-14T20:59:37Z,60062,125
5,elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,2010-02-08T13:20:56Z,2022-03-14T23:28:10Z,58853,78
6,macrozheng/mall,git@github.com:macrozheng/mall.git,2018-04-04T01:11:44Z,2022-03-15T00:31:20Z,56614,1
7,kdn251/interviews,git@github.com:kdn251/interviews.git,2017-02-14T18:19:25Z,2022-03-14T17:59:53Z,56495,0
8,spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,2010-12-08T04:04:45Z,2022-03-14T19:14:24Z,46503,222
9,ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,2013-01-08T20:11:48Z,2022-03-14T22:10:45Z,45837,227
10,GrowingGit/GitHub-Chinese-Top-Charts,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,2019-09-05T03:01:56Z,2022-03-14T23:02:46Z,45047,0
11,TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,2016-07-16T10:21:02Z,2022-03-14T21:46:41Z,44956,0
12,google/guava,git@github.com:google/guava.git,2014-05-29T16:23:17Z,2022-03-14T23:14:41Z,43899,35
13,square/retrofit,git@github.com:square/retrofit.git,2010-09-06T21:39:43Z,2022-03-14T22:23:27Z,39681,0
14,apache/dubbo,git@github.com:apache/dubbo.git,2012-06-19T07:56:02Z,2022-03-14T15:11:37Z,36941,46
15,PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,2014-04-25T14:29:47Z,2022-03-14T22:41:11Z,34774,44
16,airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,2016-10-06T22:42:42Z,2022-03-14T08:56:25Z,32527,41
17,bumptech/glide,git@github.com:bumptech/glide.git,2013-07-08T22:52:33Z,2022-03-14T17:57:09Z,32334,38
18,NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,2019-03-01T03:27:48Z,2022-03-14T23:38:54Z,31709,19
19,Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,2016-07-30T18:18:32Z,2022-03-14T23:42:48Z,30518,116
20,geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,2020-05-29T05:47:09Z,2022-03-14T13:40:00Z,30084,0
21,eugenp/tutorials,git@github.com:eugenp/tutorials.git,2013-04-29T18:26:36Z,2022-03-15T00:29:39Z,29806,0
22,skylot/jadx,git@github.com:skylot/jadx.git,2013-03-18T17:08:21Z,2022-03-15T00:26:43Z,29384,18
23,zxing/zxing,git@github.com:zxing/zxing.git,2011-10-12T14:07:27Z,2022-03-14T15:13:31Z,29276,27
24,netty/netty,git@github.com:netty/netty.git,2010-11-09T09:22:21Z,2022-03-14T15:13:12Z,28719,0
25,alibaba/arthas,git@github.com:alibaba/arthas.git,2018-08-29T17:15:57Z,2022-03-14T23:24:43Z,28632,39
26,jeecgboot/jeecg-boot,git@github.com:jeecgboot/jeecg-boot.git,2018-11-26T10:40:00Z,2022-03-14T18:31:08Z,28212,17
27,ityouknow/spring-boot-examples,git@github.com:ityouknow/spring-boot-examples.git,2016-11-05T05:32:33Z,2022-03-14T15:28:37Z,27213,0
28,crossoverJie/JCSprout,git@github.com:crossoverJie/JCSprout.git,2017-12-17T09:06:50Z,2022-03-14T09:52:19Z,26618,0
29,apolloconfig/apollo,git@github.com:apolloconfig/apollo.git,2016-03-04T10:24:23Z,2022-03-14T17:55:27Z,26437,34
30,JakeWharton/butterknife,git@github.com:JakeWharton/butterknife.git,2013-03-05T08:18:59Z,2022-03-14T09:31:08Z,25710,0
31,proxyee-down-org/proxyee-down,git@github.com:proxyee-down-org/proxyee-down.git,2017-10-25T10:07:27Z,2022-03-14T03:05:31Z,25252,49
32,alibaba/druid,git@github.com:alibaba/druid.git,2011-11-03T05:12:51Z,2022-03-14T14:02:55Z,25223,43
33,dbeaver/dbeaver,git@github.com:dbeaver/dbeaver.git,2015-10-21T08:26:28Z,2022-03-14T23:30:44Z,25106,147
34,xkcoding/spring-boot-demo,git@github.com:xkcoding/spring-boot-demo.git,2017-11-10T06:27:29Z,2022-03-14T13:42:43Z,25003,0
35,alibaba/fastjson,git@github.com:alibaba/fastjson.git,2011-11-03T06:58:52Z,2022-03-14T22:36:39Z,24190,83
36,qiurunze123/miaosha,git@github.com:qiurunze123/miaosha.git,2018-09-14T04:36:24Z,2022-03-14T16:31:51Z,24097,0
37,greenrobot/EventBus,git@github.com:greenrobot/EventBus.git,2012-07-16T16:55:40Z,2022-03-14T13:17:42Z,23863,7
38,lenve/vhr,git@github.com:lenve/vhr.git,2018-01-04T08:57:51Z,2022-03-14T23:57:17Z,23531,0
39,scwang90/SmartRefreshLayout,git@github.com:scwang90/SmartRefreshLayout.git,2017-06-02T09:52:50Z,2022-03-14T17:52:11Z,23351,10
40,SeleniumHQ/selenium,git@github.com:SeleniumHQ/selenium.git,2013-01-14T21:40:56Z,2022-03-14T23:44:05Z,22989,73
41,wuyouzhuguli/SpringAll,git@github.com:wuyouzhuguli/SpringAll.git,2018-05-02T02:48:44Z,2022-03-14T12:52:39Z,22913,0
