order,responsible,nameWithOwner,sshUrl,createdAt,updatedAt,stargazers.totalCount,releases.totalCount,analysed,LOC,CBO,DIT,LCOM
0,Pedro,Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,2018-05-07T13:27:00Z,2022-03-15T00:56:52Z,118635,0,yes,,,,
1,Pedro,iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,2014-08-09T16:45:18Z,2022-03-15T00:15:02Z,73714,0,yes,25677.0,3.0,6.0,15.0
2,Pedro,MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,2018-12-06T08:01:22Z,2022-03-14T15:10:22Z,69301,0,yes,68.0,1.0,1.0,0.0
3,Pedro,doocs/advanced-java,git@github.com:doocs/advanced-java.git,2018-10-06T11:38:30Z,2022-03-15T00:43:35Z,61665,1,yes,,,,
4,Pedro,spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,2012-10-19T15:02:57Z,2022-03-14T20:59:37Z,60062,125,yes,,,,
5,Pedro,elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,2010-02-08T13:20:56Z,2022-03-14T23:28:10Z,58853,78,yes,1464558.0,8.0,176.0,10.0
6,Pedro,macrozheng/mall,git@github.com:macrozheng/mall.git,2018-04-04T01:11:44Z,2022-03-15T00:31:20Z,56614,1,yes,55571.0,3.0,4.0,55.0
7,Pedro,kdn251/interviews,git@github.com:kdn251/interviews.git,2017-02-14T18:19:25Z,2022-03-14T17:59:53Z,56495,0,yes,5027.0,0.0,2.0,0.0
8,Pedro,spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,2010-12-08T04:04:45Z,2022-03-14T19:14:24Z,46503,222,yes,,,,
9,Pedro,ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,2013-01-08T20:11:48Z,2022-03-14T22:10:45Z,45837,227,yes,,,,
10,Pedro,GrowingGit/GitHub-Chinese-Top-Charts,git@github.com:GrowingGit/GitHub-Chinese-Top-Charts.git,2019-09-05T03:01:56Z,2022-03-14T23:02:46Z,45047,0,yes,3.0,0.0,1.0,0.0
11,Pedro,TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,2016-07-16T10:21:02Z,2022-03-14T21:46:41Z,44956,0,yes,18577.0,1.0,3.0,0.0
12,Pedro,google/guava,git@github.com:google/guava.git,2014-05-29T16:23:17Z,2022-03-14T23:14:41Z,43899,35,yes,196963.0,14.0,99.0,0.0
13,Pedro,square/retrofit,git@github.com:square/retrofit.git,2010-09-06T21:39:43Z,2022-03-14T22:23:27Z,39681,0,yes,19904.0,9.0,16.0,0.0
14,Pedro,apache/dubbo,git@github.com:apache/dubbo.git,2012-06-19T07:56:02Z,2022-03-14T15:11:37Z,36941,46,yes,139578.0,11.0,9.0,39.0
15,Pedro,PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,2014-04-25T14:29:47Z,2022-03-14T22:41:11Z,34774,44,yes,19143.0,24.0,6.0,1.0
16,Pedro,airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,2016-10-06T22:42:42Z,2022-03-14T08:56:25Z,32527,41,yes,13233.0,6.0,6.0,0.0
17,Pedro,bumptech/glide,git@github.com:bumptech/glide.git,2013-07-08T22:52:33Z,2022-03-14T17:57:09Z,32334,38,yes,44086.0,5.0,20.0,0.0
18,Pedro,NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,2019-03-01T03:27:48Z,2022-03-14T23:38:54Z,31709,19,yes,,,,
19,Pedro,Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,2016-07-30T18:18:32Z,2022-03-14T23:42:48Z,30518,116,yes,32679.0,1.0,10.0,0.0
20,Pedro,geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,2020-05-29T05:47:09Z,2022-03-14T13:40:00Z,30084,0,yes,52.0,0.0,1.0,0.0
21,Pedro,eugenp/tutorials,git@github.com:eugenp/tutorials.git,2013-04-29T18:26:36Z,2022-03-15T00:29:39Z,29806,0,yes,278863.0,1.0,11.0,19.0
22,Pedro,skylot/jadx,git@github.com:skylot/jadx.git,2013-03-18T17:08:21Z,2022-03-15T00:26:43Z,29384,18,yes,77602.0,0.0,21.0,0.0
23,Pedro,zxing/zxing,git@github.com:zxing/zxing.git,2011-10-12T14:07:27Z,2022-03-14T15:13:31Z,29276,27,yes,35037.0,8.0,6.0,1.0
24,Pedro,netty/netty,git@github.com:netty/netty.git,2010-11-09T09:22:21Z,2022-03-14T15:13:12Z,28719,0,yes,,,,
25,Pedro,alibaba/arthas,git@github.com:alibaba/arthas.git,2018-08-29T17:15:57Z,2022-03-14T23:24:43Z,28632,39,yes,33701.0,1.0,14.0,0.0
26,Pedro,jeecgboot/jeecg-boot,git@github.com:jeecgboot/jeecg-boot.git,2018-11-26T10:40:00Z,2022-03-14T18:31:08Z,28212,17,yes,27505.0,26.0,4.0,0.0
27,Pedro,ityouknow/spring-boot-examples,git@github.com:ityouknow/spring-boot-examples.git,2016-11-05T05:32:33Z,2022-03-14T15:28:37Z,27213,0,yes,2471.0,6.0,2.0,0.0
28,Pedro,crossoverJie/JCSprout,git@github.com:crossoverJie/JCSprout.git,2017-12-17T09:06:50Z,2022-03-14T09:52:19Z,26618,0,yes,3370.0,3.0,4.0,0.0
29,Pedro,apolloconfig/apollo,git@github.com:apolloconfig/apollo.git,2016-03-04T10:24:23Z,2022-03-14T17:55:27Z,26437,34,yes,36766.0,6.0,13.0,21.0
30,Pedro,JakeWharton/butterknife,git@github.com:JakeWharton/butterknife.git,2013-03-05T08:18:59Z,2022-03-14T09:31:08Z,25710,0,yes,5785.0,2.0,6.0,1.0
31,Pedro,proxyee-down-org/proxyee-down,git@github.com:proxyee-down-org/proxyee-down.git,2017-10-25T10:07:27Z,2022-03-14T03:05:31Z,25252,49,yes,2845.0,10.0,5.0,6.0
32,Pedro,alibaba/druid,git@github.com:alibaba/druid.git,2011-11-03T05:12:51Z,2022-03-14T14:02:55Z,25223,43,yes,280895.0,7.0,32.0,315.0
33,Pedro,dbeaver/dbeaver,git@github.com:dbeaver/dbeaver.git,2015-10-21T08:26:28Z,2022-03-14T23:30:44Z,25106,147,yes,286908.0,8.0,21.0,4.0
34,Pedro,xkcoding/spring-boot-demo,git@github.com:xkcoding/spring-boot-demo.git,2017-11-10T06:27:29Z,2022-03-14T13:42:43Z,25003,0,yes,5434.0,2.0,5.0,0.0
35,Pedro,alibaba/fastjson,git@github.com:alibaba/fastjson.git,2011-11-03T06:58:52Z,2022-03-14T22:36:39Z,24190,83,yes,136097.0,0.0,15.0,2.0
36,Pedro,qiurunze123/miaosha,git@github.com:qiurunze123/miaosha.git,2018-09-14T04:36:24Z,2022-03-14T16:31:51Z,24097,0,yes,6843.0,4.0,4.0,0.0
37,Pedro,greenrobot/EventBus,git@github.com:greenrobot/EventBus.git,2012-07-16T16:55:40Z,2022-03-14T13:17:42Z,23863,7,yes,3788.0,2.0,12.0,0.0
38,Pedro,lenve/vhr,git@github.com:lenve/vhr.git,2018-01-04T08:57:51Z,2022-03-14T23:57:17Z,23531,0,yes,2535.0,4.0,2.0,0.0
39,Pedro,scwang90/SmartRefreshLayout,git@github.com:scwang90/SmartRefreshLayout.git,2017-06-02T09:52:50Z,2022-03-14T17:52:11Z,23351,10,yes,16332.0,2.0,6.0,0.0
40,Pedro,SeleniumHQ/selenium,git@github.com:SeleniumHQ/selenium.git,2013-01-14T21:40:56Z,2022-03-14T23:44:05Z,22989,73,yes,,,,
41,Pedro,wuyouzhuguli/SpringAll,git@github.com:wuyouzhuguli/SpringAll.git,2018-05-02T02:48:44Z,2022-03-14T12:52:39Z,22913,0,yes,4818.0,8.0,4.0,1.0
42,Pedro,alibaba/easyexcel,git@github.com:alibaba/easyexcel.git,2018-02-06T03:14:08Z,2022-03-14T22:38:35Z,22829,1,yes,15832.0,5.0,8.0,0.0
43,Pedro,CymChad/BaseRecyclerViewAdapterHelper,git@github.com:CymChad/BaseRecyclerViewAdapterHelper.git,2016-04-10T07:40:11Z,2022-03-14T08:57:23Z,22666,192,yes,2971.0,0.0,7.0,0.0
44,Pedro,Netflix/Hystrix,git@github.com:Netflix/Hystrix.git,2012-11-19T20:14:46Z,2022-03-14T21:13:24Z,22466,79,yes,46314.0,8.0,114.0,171.0
45,Pedro,hollischuang/toBeTopJavaer,git@github.com:hollischuang/toBeTopJavaer.git,2018-10-25T09:54:54Z,2022-03-15T00:47:48Z,22460,0,yes,,,,
46,Pedro,alibaba/canal,git@github.com:alibaba/canal.git,2013-01-13T10:59:52Z,2022-03-14T23:27:25Z,22330,22,yes,70700.0,2.0,13.0,0.0
47,Pedro,signalapp/Signal-Android,git@github.com:signalapp/Signal-Android.git,2011-12-15T20:01:12Z,2022-03-14T23:38:41Z,22142,0,no,,,,
48,Pedro,dromara/hutool,git@github.com:dromara/hutool.git,2014-04-13T07:23:51Z,2022-03-14T17:57:06Z,22129,110,no,,,,
49,Pedro,seata/seata,git@github.com:seata/seata.git,2018-12-28T08:37:22Z,2022-03-14T16:03:24Z,21782,31,no,,,,
50,Pedro,alibaba/nacos,git@github.com:alibaba/nacos.git,2018-06-15T06:49:27Z,2022-03-15T00:25:51Z,21669,43,no,,,,
